timestamp,instance_type,availability_zone,spot_price,product_desc
2026-01-17 17:01:30+00:00,g4dn.xlarge,eu-north-1c,0.1779,Linux/UNIX
2026-01-17 17:31:43+00:00,c5.2xlarge,eu-north-1c,0.1025,Linux/UNIX
2026-01-17 18:01:23+00:00,g4dn.xlarge,eu-north-1a,0.1783,Linux/UNIX
2026-01-17 18:15:59+00:00,c5.2xlarge,eu-north-1a,0.1379,Linux/UNIX
2026-01-17 18:46:35+00:00,c5.xlarge,eu-north-1b,0.0579,Linux/UNIX
2026-01-17 19:16:30+00:00,m5.xlarge,eu-north-1a,0.0616,Linux/UNIX
2026-01-17 19:31:22+00:00,m5.xlarge,eu-north-1b,0.0631,Linux/UNIX
2026-01-17 20:16:27+00:00,g4dn.xlarge,eu-north-1b,0.1949,Linux/UNIX
2026-01-17 20:46:33+00:00,m5.2xlarge,eu-north-1c,0.1627,Linux/UNIX
2026-01-17 21:16:19+00:00,c5.xlarge,eu-north-1a,0.0659,Linux/UNIX
2026-01-17 21:16:30+00:00,m5.2xlarge,eu-north-1a,0.1923,Linux/UNIX
2026-01-17 22:46:12+00:00,c5.2xlarge,eu-north-1c,0.1024,Linux/UNIX
2026-01-17 22:46:55+00:00,g4dn.xlarge,eu-north-1a,0.1787,Linux/UNIX
2026-01-17 23:31:25+00:00,m5.xlarge,eu-north-1c,0.0658,Linux/UNIX
2026-01-18 01:16:20+00:00,c5.xlarge,eu-north-1c,0.0576,Linux/UNIX
2026-01-18 01:31:20+00:00,m5.2xlarge,eu-north-1b,0.1617,Linux/UNIX
2026-01-18 02:16:30+00:00,m5.xlarge,eu-north-1a,0.0615,Linux/UNIX
2026-01-18 02:46:17+00:00,m5.2xlarge,eu-north-1c,0.1621,Linux/UNIX
2026-01-18 03:01:42+00:00,g4dn.xlarge,eu-north-1b,0.1948,Linux/UNIX
2026-01-18 03:02:26+00:00,c5.2xlarge,eu-north-1b,0.1062,Linux/UNIX
2026-01-18 03:16:46+00:00,c5.xlarge,eu-north-1b,0.0578,Linux/UNIX
2026-01-18 04:01:31+00:00,m5.2xlarge,eu-north-1a,0.1919,Linux/UNIX
2026-01-18 04:02:01+00:00,c5.xlarge,eu-north-1a,0.0658,Linux/UNIX
2026-01-18 06:01:24+00:00,c5.xlarge,eu-north-1c,0.0578,Linux/UNIX
2026-01-18 06:47:06+00:00,g4dn.xlarge,eu-north-1a,0.1795,Linux/UNIX
2026-01-18 06:47:06+00:00,g4dn.xlarge,eu-north-1b,0.1947,Linux/UNIX
2026-01-18 07:01:15+00:00,m5.xlarge,eu-north-1c,0.0656,Linux/UNIX
2026-01-18 08:46:47+00:00,c5.xlarge,eu-north-1b,0.0577,Linux/UNIX
2026-01-18 09:02:04+00:00,c5.2xlarge,eu-north-1a,0.1381,Linux/UNIX
